,carat,cut,color,clarity,depth,table,price,x,y,z
999,0.74,Premium,D,VS2,61.8,58,2897,5.81,5.77,3.58
1000,1.12,Premium,J,SI2,60.6,59,2898,6.68,6.61,4.03
1001,0.75,Ideal,D,SI1,62.3,55,2898,5.83,5.8,3.62
1002,0.77,Ideal,D,SI1,62.6,57,2898,5.92,5.81,3.67
1003,0.98,Good,H,SI2,57.9,56,2898,6.51,6.47,3.76
1004,0.79,Ideal,G,SI1,61.1,57,2898,5.98,5.93,3.64
1005,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
1006,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
1007,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
1008,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
1009,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
1010,0.7,Good,G,VVS1,59.9,61,2899,5.75,5.81,3.46
1011,0.7,Very Good,F,SI1,61.9,58,2900,5.71,5.72,3.54
1012,0.72,Premium,D,VS1,62.7,58,2900,5.68,5.65,3.55
1013,0.8,Premium,F,SI1,62.7,58,2901,5.91,5.93,3.71
1014,0.81,Ideal,E,SI2,63,56,2901,5.95,5.9,3.73
1015,0.81,Premium,E,SI2,62.5,59,2901,5.97,5.9,3.71
1016,0.74,Ideal,E,VS2,61.9,57,2901,5.81,5.78,3.59
1017,0.73,Premium,E,VS2,62,60,2902,5.76,5.73,3.56
1018,0.73,Ideal,E,VS2,61.4,55,2902,5.82,5.8,3.57
1019,0.75,Ideal,G,SI1,61.6,55,2902,5.82,5.86,3.6
1020,0.71,Fair,E,VS2,64.6,59,2902,5.62,5.59,3.62
1021,0.71,Premium,E,VS2,59.6,60,2902,5.85,5.8,3.47
1022,0.75,Premium,D,SI1,62.8,60,2903,5.78,5.74,3.62
1023,0.75,Ideal,D,SI1,62.3,57,2903,5.83,5.8,3.62
1024,0.72,Ideal,D,SI1,61.9,55,2903,5.78,5.75,3.57
1025,0.72,Premium,D,SI1,61.4,59,2903,5.79,5.71,3.53
1026,0.72,Premium,E,VS2,61.1,59,2903,5.8,5.75,3.53
1027,0.79,Very Good,F,SI1,63,54,2904,5.91,5.94,3.73
1028,0.79,Very Good,D,SI2,62.8,57,2904,5.85,5.9,3.69
1029,0.7,Very Good,E,VS1,58.4,59,2904,5.83,5.91,3.43
1030,0.62,Ideal,E,VVS2,62,56,2904,5.48,5.52,3.41
1031,0.7,Very Good,G,VVS2,59.3,62,2905,5.78,5.82,3.44
1032,0.7,Very Good,G,VVS2,63.4,59,2905,5.62,5.64,3.57
1033,0.7,Very Good,G,VVS2,63.3,59,2905,5.59,5.62,3.55
1034,0.71,Very Good,G,VS2,62.1,58,2905,5.65,5.71,3.53
1035,0.86,Very Good,I,VS1,61.2,58,2905,6.1,6.16,3.75
1036,0.53,Ideal,D,VVS1,62.5,54,2905,5.16,5.21,3.24
1037,0.91,Very Good,J,SI1,63.5,58,2905,6.17,6.12,3.9
1038,0.95,Good,I,SI2,63.8,57,2905,6.23,6.13,3.94
1039,0.91,Premium,J,SI1,62.8,59,2905,6.19,6.14,3.87
1040,0.74,Very Good,D,VS2,62.4,57,2906,5.74,5.8,3.6
1041,0.8,Ideal,I,VS1,62.2,58,2906,5.92,5.95,3.69
1042,0.74,Good,E,SI1,62.8,61,2906,5.74,5.76,3.61
1043,0.61,Ideal,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
1044,0.61,Ideal,E,VVS2,62.4,53.6,2907,5.42,5.45,3.39
1045,0.61,Ideal,E,VVS2,62.1,54.2,2907,5.43,5.45,3.38
